asset,event_type,source_timestamp_utc,amount,numerator,denominator,split_ratio,event_date
XSD,dividends,2007-03-16 13:30:00+00:00,"0,0215",,,,2007-03-16
XSD,dividends,2007-06-15 13:30:00+00:00,"0,022",,,,2007-06-15
XSD,dividends,2007-09-21 13:30:00+00:00,"0,0215",,,,2007-09-21
XSD,dividends,2007-12-21 14:30:00+00:00,"0,028",,,,2007-12-21
XSD,dividends,2008-03-20 13:30:00+00:00,"0,0415",,,,2008-03-20
XSD,dividends,2008-06-20 13:30:00+00:00,"0,045",,,,2008-06-20
XSD,dividends,2008-09-19 13:30:00+00:00,"0,0485",,,,2008-09-19
XSD,dividends,2008-12-19 14:30:00+00:00,"0,011",,,,2008-12-19
XSD,dividends,2009-03-20 13:30:00+00:00,"0,041",,,,2009-03-20
XSD,dividends,2009-06-19 13:30:00+00:00,"0,0445",,,,2009-06-19
XSD,dividends,2009-09-18 13:30:00+00:00,"0,046",,,,2009-09-18
XSD,dividends,2009-12-18 14:30:00+00:00,"0,043",,,,2009-12-18
XSD,dividends,2010-03-19 13:30:00+00:00,"0,043",,,,2010-03-19
XSD,dividends,2010-06-18 13:30:00+00:00,"0,051",,,,2010-06-18
XSD,dividends,2010-09-17 13:30:00+00:00,"0,0525",,,,2010-09-17
XSD,dividends,2010-12-17 14:30:00+00:00,"0,06",,,,2010-12-17
XSD,dividends,2011-03-18 13:30:00+00:00,"0,0325",,,,2011-03-18
XSD,dividends,2011-06-17 13:30:00+00:00,"0,0195",,,,2011-06-17
XSD,dividends,2011-09-16 13:30:00+00:00,"0,041",,,,2011-09-16
XSD,dividends,2011-12-16 14:30:00+00:00,"0,0935",,,,2011-12-16
XSD,dividends,2012-03-16 13:30:00+00:00,"0,023",,,,2012-03-16
XSD,dividends,2012-06-15 13:30:00+00:00,"0,026",,,,2012-06-15
XSD,dividends,2012-09-21 13:30:00+00:00,"0,034",,,,2012-09-21
XSD,dividends,2012-12-21 14:30:00+00:00,"0,0735",,,,2012-12-21
XSD,dividends,2013-03-15 13:30:00+00:00,"0,0295",,,,2013-03-15
XSD,dividends,2013-06-21 13:30:00+00:00,"0,0395",,,,2013-06-21
XSD,dividends,2013-09-20 13:30:00+00:00,"0,0385",,,,2013-09-20
XSD,dividends,2013-12-20 14:30:00+00:00,"0,051",,,,2013-12-20
XSD,dividends,2014-03-21 13:30:00+00:00,"0,043",,,,2014-03-21
XSD,dividends,2014-06-20 13:30:00+00:00,"0,0395",,,,2014-06-20
XSD,dividends,2014-09-19 13:30:00+00:00,"0,044",,,,2014-09-19
XSD,dividends,2014-12-19 14:30:00+00:00,"0,0575",,,,2014-12-19
XSD,dividends,2015-03-20 13:30:00+00:00,"0,047",,,,2015-03-20
XSD,dividends,2015-06-19 13:30:00+00:00,"0,063",,,,2015-06-19
XSD,splits,2015-09-11 13:30:00+00:00,,2.0,1.0,2:1,2015-09-11
XSD,dividends,2015-09-18 13:30:00+00:00,"0,067",,,,2015-09-18
XSD,dividends,2015-12-18 14:30:00+00:00,"0,075",,,,2015-12-18
XSD,dividends,2016-03-18 13:30:00+00:00,"0,052",,,,2016-03-18
XSD,dividends,2016-06-17 13:30:00+00:00,"0,102",,,,2016-06-17
XSD,dividends,2016-09-16 13:30:00+00:00,"0,085",,,,2016-09-16
XSD,dividends,2016-12-16 14:30:00+00:00,"0,118",,,,2016-12-16
XSD,dividends,2017-03-17 13:30:00+00:00,"0,091",,,,2017-03-17
XSD,dividends,2017-06-16 13:30:00+00:00,"0,098",,,,2017-06-16
XSD,dividends,2017-09-15 13:30:00+00:00,"0,094",,,,2017-09-15
XSD,dividends,2017-12-15 14:30:00+00:00,"0,128",,,,2017-12-15
XSD,dividends,2018-03-16 13:30:00+00:00,"0,108",,,,2018-03-16
XSD,dividends,2018-06-15 13:30:00+00:00,"0,19",,,,2018-06-15
XSD,dividends,2018-09-24 13:30:00+00:00,"0,248",,,,2018-09-24
XSD,dividends,2018-12-24 14:30:00+00:00,"0,207",,,,2018-12-24
QQQ,dividends,2007-03-16 13:30:00+00:00,"0,027",,,,2007-03-16
QQQ,dividends,2007-06-15 13:30:00+00:00,"0,037",,,,2007-06-15
QQQ,dividends,2007-09-21 13:30:00+00:00,"0,026",,,,2007-09-21
QQQ,dividends,2007-12-21 14:30:00+00:00,"0,053",,,,2007-12-21
QQQ,dividends,2008-03-20 13:30:00+00:00,"0,033",,,,2008-03-20
QQQ,dividends,2008-06-20 13:30:00+00:00,"0,034",,,,2008-06-20
QQQ,dividends,2008-09-19 13:30:00+00:00,"0,028",,,,2008-09-19
QQQ,dividends,2008-12-19 14:30:00+00:00,"0,043",,,,2008-12-19
QQQ,dividends,2009-03-20 13:30:00+00:00,"0,049",,,,2009-03-20
QQQ,dividends,2009-06-19 13:30:00+00:00,"0,044",,,,2009-06-19
QQQ,dividends,2009-09-18 13:30:00+00:00,"0,041",,,,2009-09-18
QQQ,dividends,2009-12-18 14:30:00+00:00,"0,073",,,,2009-12-18
QQQ,dividends,2010-03-19 13:30:00+00:00,"0,051",,,,2010-03-19
QQQ,dividends,2010-06-18 13:30:00+00:00,"0,089",,,,2010-06-18
QQQ,dividends,2010-06-25 13:30:00+00:00,"0,089",,,,2010-06-25
QQQ,dividends,2010-09-17 13:30:00+00:00,"0,112",,,,2010-09-17
QQQ,dividends,2010-12-17 14:30:00+00:00,"0,108",,,,2010-12-17
QQQ,dividends,2011-03-18 13:30:00+00:00,"0,077",,,,2011-03-18
QQQ,dividends,2011-06-17 13:30:00+00:00,"0,121",,,,2011-06-17
QQQ,dividends,2011-09-16 13:30:00+00:00,"0,104",,,,2011-09-16
QQQ,dividends,2011-12-16 14:30:00+00:00,"0,161",,,,2011-12-16
QQQ,dividends,2011-12-27 14:30:00+00:00,"0,049",,,,2011-12-27
QQQ,dividends,2012-03-16 13:30:00+00:00,"0,113",,,,2012-03-16
QQQ,dividends,2012-06-15 13:30:00+00:00,"0,143",,,,2012-06-15
QQQ,dividends,2012-09-21 13:30:00+00:00,"0,2",,,,2012-09-21
QQQ,dividends,2012-12-21 14:30:00+00:00,"0,367",,,,2012-12-21
QQQ,dividends,2013-03-15 13:30:00+00:00,"0,159",,,,2013-03-15
QQQ,dividends,2013-06-21 13:30:00+00:00,"0,224",,,,2013-06-21
QQQ,dividends,2013-09-20 13:30:00+00:00,"0,238",,,,2013-09-20
QQQ,dividends,2013-12-20 14:30:00+00:00,"0,272",,,,2013-12-20
QQQ,dividends,2014-02-27 14:30:00+00:00,"0,373",,,,2014-02-27
QQQ,dividends,2014-03-21 13:30:00+00:00,"0,206",,,,2014-03-21
QQQ,dividends,2014-06-20 13:30:00+00:00,"0,249",,,,2014-06-20
QQQ,dividends,2014-09-19 13:30:00+00:00,"0,238",,,,2014-09-19
QQQ,dividends,2014-12-19 14:30:00+00:00,"0,387",,,,2014-12-19
QQQ,dividends,2015-03-20 13:30:00+00:00,"0,248",,,,2015-03-20
QQQ,dividends,2015-06-19 13:30:00+00:00,"0,254",,,,2015-06-19
QQQ,dividends,2015-09-18 13:30:00+00:00,"0,26",,,,2015-09-18
QQQ,dividends,2015-12-18 14:30:00+00:00,"0,342",,,,2015-12-18
QQQ,dividends,2016-03-18 13:30:00+00:00,"0,318",,,,2016-03-18
QQQ,dividends,2016-06-17 13:30:00+00:00,"0,287",,,,2016-06-17
QQQ,dividends,2016-09-16 13:30:00+00:00,"0,294",,,,2016-09-16
QQQ,dividends,2016-12-16 14:30:00+00:00,"0,355",,,,2016-12-16
QQQ,dividends,2017-03-17 13:30:00+00:00,"0,274",,,,2017-03-17
QQQ,dividends,2017-06-16 13:30:00+00:00,"0,378",,,,2017-06-16
QQQ,dividends,2017-09-18 13:30:00+00:00,"0,319",,,,2017-09-18
QQQ,dividends,2017-12-18 14:30:00+00:00,"0,329",,,,2017-12-18
QQQ,dividends,2018-03-19 13:30:00+00:00,"0,277",,,,2018-03-19
QQQ,dividends,2018-06-18 13:30:00+00:00,"0,378",,,,2018-06-18
QQQ,dividends,2018-09-24 13:30:00+00:00,"0,33",,,,2018-09-24
QQQ,dividends,2018-12-24 14:30:00+00:00,"0,421",,,,2018-12-24
SPY,dividends,2007-03-16 13:30:00+00:00,"0,551",,,,2007-03-16
SPY,dividends,2007-06-15 13:30:00+00:00,"0,656",,,,2007-06-15
SPY,dividends,2007-09-21 13:30:00+00:00,"0,719",,,,2007-09-21
SPY,dividends,2007-12-21 14:30:00+00:00,"0,775",,,,2007-12-21
SPY,dividends,2008-03-20 13:30:00+00:00,"0,642",,,,2008-03-20
SPY,dividends,2008-06-20 13:30:00+00:00,"0,669",,,,2008-06-20
SPY,dividends,2008-09-19 13:30:00+00:00,"0,691",,,,2008-09-19
SPY,dividends,2008-12-19 14:30:00+00:00,"0,719",,,,2008-12-19
SPY,dividends,2009-03-20 13:30:00+00:00,"0,561",,,,2009-03-20
SPY,dividends,2009-06-19 13:30:00+00:00,"0,518",,,,2009-06-19
SPY,dividends,2009-09-18 13:30:00+00:00,"0,508",,,,2009-09-18
SPY,dividends,2009-12-18 14:30:00+00:00,"0,59",,,,2009-12-18
SPY,dividends,2010-03-19 13:30:00+00:00,"0,48",,,,2010-03-19
SPY,dividends,2010-06-18 13:30:00+00:00,"0,531",,,,2010-06-18
SPY,dividends,2010-09-17 13:30:00+00:00,"0,602",,,,2010-09-17
SPY,dividends,2010-12-17 14:30:00+00:00,"0,653",,,,2010-12-17
SPY,dividends,2011-03-18 13:30:00+00:00,"0,553",,,,2011-03-18
SPY,dividends,2011-06-17 13:30:00+00:00,"0,628",,,,2011-06-17
SPY,dividends,2011-09-16 13:30:00+00:00,"0,625",,,,2011-09-16
SPY,dividends,2011-12-16 14:30:00+00:00,"0,77",,,,2011-12-16
SPY,dividends,2012-03-16 13:30:00+00:00,"0,614",,,,2012-03-16
SPY,dividends,2012-06-15 13:30:00+00:00,"0,688",,,,2012-06-15
SPY,dividends,2012-09-21 13:30:00+00:00,"0,779",,,,2012-09-21
SPY,dividends,2012-12-21 14:30:00+00:00,"1,022",,,,2012-12-21
SPY,dividends,2013-03-15 13:30:00+00:00,"0,694",,,,2013-03-15
SPY,dividends,2013-06-21 13:30:00+00:00,"0,839",,,,2013-06-21
SPY,dividends,2013-09-20 13:30:00+00:00,"0,838",,,,2013-09-20
SPY,dividends,2013-12-20 14:30:00+00:00,"0,98",,,,2013-12-20
SPY,dividends,2014-03-21 13:30:00+00:00,"0,825",,,,2014-03-21
SPY,dividends,2014-06-20 13:30:00+00:00,"0,937",,,,2014-06-20
SPY,dividends,2014-09-19 13:30:00+00:00,"0,939",,,,2014-09-19
SPY,dividends,2014-12-19 14:30:00+00:00,"1,135",,,,2014-12-19
SPY,dividends,2015-03-20 13:30:00+00:00,"0,931",,,,2015-03-20
SPY,dividends,2015-06-19 13:30:00+00:00,"1,03",,,,2015-06-19
SPY,dividends,2015-09-18 13:30:00+00:00,"1,033",,,,2015-09-18
SPY,dividends,2015-12-18 14:30:00+00:00,"1,212",,,,2015-12-18
SPY,dividends,2016-03-18 13:30:00+00:00,"1,05",,,,2016-03-18
SPY,dividends,2016-06-17 13:30:00+00:00,"1,078",,,,2016-06-17
SPY,dividends,2016-09-16 13:30:00+00:00,"1,082",,,,2016-09-16
SPY,dividends,2016-12-16 14:30:00+00:00,"1,329",,,,2016-12-16
SPY,dividends,2017-03-17 13:30:00+00:00,"1,033",,,,2017-03-17
SPY,dividends,2017-06-16 13:30:00+00:00,"1,183",,,,2017-06-16
SPY,dividends,2017-09-15 13:30:00+00:00,"1,235",,,,2017-09-15
SPY,dividends,2017-12-15 14:30:00+00:00,"1,351",,,,2017-12-15
SPY,dividends,2018-03-16 13:30:00+00:00,"1,097",,,,2018-03-16
SPY,dividends,2018-06-15 13:30:00+00:00,"1,246",,,,2018-06-15
SPY,dividends,2018-09-21 13:30:00+00:00,"1,323",,,,2018-09-21
SPY,dividends,2018-12-21 14:30:00+00:00,"1,435",,,,2018-12-21
0052,dividends,2014-05-13 01:00:00+00:00,"2,462",,,,2014-05-13
0052,dividends,2016-05-04 01:00:00+00:00,"0,348429",,,,2016-05-04
0052,dividends,2017-05-03 01:00:00+00:00,"0,201429",,,,2017-05-03
0052,dividends,2018-05-03 01:00:00+00:00,"0,245714",,,,2018-05-03
0050,dividends,2013-10-24 01:00:00+00:00,"1,35",,,,2013-10-24
0050,dividends,2014-10-24 01:00:00+00:00,"1,55",,,,2014-10-24
0050,dividends,2015-10-26 01:00:00+00:00,"0,5",,,,2015-10-26
0050,dividends,2016-07-28 01:00:00+00:00,"0,2125",,,,2016-07-28
0050,dividends,2017-02-08 01:00:00+00:00,"0,425",,,,2017-02-08
0050,dividends,2017-07-31 01:00:00+00:00,"0,175",,,,2017-07-31
0050,dividends,2018-01-29 01:00:00+00:00,"0,55",,,,2018-01-29
0050,dividends,2018-07-23 01:00:00+00:00,"0,175",,,,2018-07-23
