session_date,Trade Volume,Trade Value,Transaction,Opening Price,Highest Price,Lowest Price,Closing Price,Change,Mark,classification,classification_evidence
2010-02-24,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2010-03-24,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2010-06-10,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2010-06-22,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2010-07-22,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2010-08-30,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2011-03-09,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2011-12-30,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2012-01-04,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2012-05-14,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2012-05-22,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2012-06-14,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2012-06-20,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2012-07-31,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2012-08-01,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2012-09-03,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2012-09-28,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
