session_date,primary_classification,second_official_endpoint,crosscheck_status,trade_volume,transactions,last_best_bid,last_best_ask,raw_artifact_path
2010-02-24,NO_0052_TRADE,MI_INDEX Daily Quotes (ALL),official source agrees,0,0,33.50,33.98,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20100224.json
2011-03-09,NO_0052_TRADE,MI_INDEX Daily Quotes (ALL),official source agrees,0,0,36.00,36.90,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20110309.json
2012-01-04,NO_0052_TRADE,MI_INDEX Daily Quotes (ALL),official source agrees,0,0,29.55,30.00,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20120104.json
2013-03-20,NO_0052_TRADE,MI_INDEX Daily Quotes (ALL),official source agrees,0,0,32.50,32.95,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20130320.json
2014-01-06,NO_0052_TRADE,MI_INDEX Daily Quotes (ALL),official source agrees,0,0,34.25,34.41,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20140106.json
2014-06-03,NO_REGULAR_0052_TRADE_ODD_LOT_ONLY,MI_INDEX Daily Quotes (ALL),official source agrees,50,1,39.15,39.30,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20140603.json
2015-05-04,NO_0052_TRADE,MI_INDEX Daily Quotes (ALL),official source agrees,0,0,42.12,42.41,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20150504.json
2016-01-14,NO_0052_TRADE,MI_INDEX Daily Quotes (ALL),official source agrees,0,0,34.83,35.14,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20160114.json
2017-01-03,NO_0052_TRADE,MI_INDEX Daily Quotes (ALL),official source agrees,0,0,42.84,43.00,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20170103.json
2017-04-05,NO_REGULAR_0052_TRADE_ODD_LOT_ONLY,MI_INDEX Daily Quotes (ALL),official source agrees,105,2,45.38,45.76,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20170405.json
2017-06-01,NO_REGULAR_0052_TRADE_ODD_LOT_ONLY,MI_INDEX Daily Quotes (ALL),official source agrees,75,1,46.41,46.50,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20170601.json
2017-07-20,NO_REGULAR_0052_TRADE_ODD_LOT_ONLY,MI_INDEX Daily Quotes (ALL),official source agrees,1,1,49.74,49.78,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20170720.json
2017-08-24,NO_REGULAR_0052_TRADE_ODD_LOT_ONLY,MI_INDEX Daily Quotes (ALL),official source agrees,1,1,49.75,50.15,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20170824.json
2017-10-02,NO_REGULAR_0052_TRADE_ODD_LOT_ONLY,MI_INDEX Daily Quotes (ALL),official source agrees,98,1,51.25,51.60,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20171002.json
2018-01-12,NO_0052_TRADE,MI_INDEX Daily Quotes (ALL),official source agrees,0,0,54.20,54.70,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_20180112.json
