start_session,end_session,official_session_count
2010-02-24,2010-02-24,1
2010-03-24,2010-03-24,1
2010-06-10,2010-06-10,1
2010-06-22,2010-06-22,1
2010-07-22,2010-07-22,1
2010-08-30,2010-08-30,1
2011-03-09,2011-03-09,1
2011-12-30,2011-12-30,1
2012-01-04,2012-01-04,1
2012-05-14,2012-05-14,1
2012-05-22,2012-05-22,1
2012-06-14,2012-06-14,1
2012-06-20,2012-06-20,1
2012-07-31,2012-08-01,2
2012-09-03,2012-09-03,1
2012-09-28,2012-09-28,1
2012-10-30,2012-10-30,1
2012-11-22,2012-11-22,1
2012-12-06,2012-12-06,1
2012-12-10,2012-12-10,1
2012-12-20,2012-12-20,1
2013-03-20,2013-03-21,2
2013-03-28,2013-03-28,1
2013-05-31,2013-05-31,1
2013-06-24,2013-06-24,1
2013-06-28,2013-06-28,1
2013-07-02,2013-07-02,1
2013-08-09,2013-08-09,1
2013-08-15,2013-08-15,1
2013-09-06,2013-09-06,1
2013-09-14,2013-09-14,1
2013-10-01,2013-10-01,1
2013-10-09,2013-10-09,1
2013-10-24,2013-10-24,1
2013-11-06,2013-11-06,1
2013-11-11,2013-11-11,1
2013-11-18,2013-11-18,1
2014-01-06,2014-01-06,1
2014-01-24,2014-01-24,1
2014-06-03,2014-06-03,1
2014-06-20,2014-06-20,1
2014-08-14,2014-08-14,1
2014-08-20,2014-08-21,2
2014-08-28,2014-08-28,1
2014-09-12,2014-09-12,1
2014-09-18,2014-09-22,3
2014-10-09,2014-10-09,1
2014-10-24,2014-10-24,1
2014-10-29,2014-10-30,2
2014-11-21,2014-11-21,1
2015-05-04,2015-05-04,1
2015-06-18,2015-06-18,1
2015-09-18,2015-09-18,1
2015-10-22,2015-10-22,1
2015-10-29,2015-10-29,1
2015-12-31,2015-12-31,1
2016-01-14,2016-01-14,1
2016-01-21,2016-01-21,1
2016-02-24,2016-02-24,1
2016-03-04,2016-03-04,1
2016-03-22,2016-03-22,1
2016-05-12,2016-05-12,1
2016-05-16,2016-05-16,1
2016-05-31,2016-05-31,1
2016-06-03,2016-06-04,2
2016-06-24,2016-06-24,1
2016-07-20,2016-07-20,1
2016-07-22,2016-07-22,1
2016-08-19,2016-08-19,1
2016-08-24,2016-08-24,1
2016-09-09,2016-09-09,1
2016-09-26,2016-09-26,1
2016-09-30,2016-09-30,1
2016-10-06,2016-10-06,1
2016-10-24,2016-10-24,1
2016-11-01,2016-11-01,1
2016-11-21,2016-11-21,1
2016-11-24,2016-11-24,1
2016-11-30,2016-11-30,1
2016-12-09,2016-12-09,1
2016-12-26,2016-12-26,1
2016-12-29,2016-12-29,1
2017-01-03,2017-01-03,1
2017-01-16,2017-01-16,1
2017-02-09,2017-02-09,1
2017-02-20,2017-02-20,1
2017-04-05,2017-04-05,1
2017-06-01,2017-06-01,1
2017-06-03,2017-06-03,1
2017-07-20,2017-07-20,1
2017-08-04,2017-08-04,1
2017-08-14,2017-08-14,1
2017-08-24,2017-08-24,1
2017-09-28,2017-09-29,2
2017-10-02,2017-10-02,1
2017-10-05,2017-10-05,1
2017-11-01,2017-11-01,1
2017-11-09,2017-11-09,1
2017-11-24,2017-11-24,1
2018-01-12,2018-01-12,1
