instrument,event_date,primary_amount,secondary_amount,crosscheck_status
0050,2010-10-25,2.200000,2.2,official source agrees
0050,2011-10-26,1.950000,1.95,official source agrees
0050,2012-10-24,1.850000,1.85,official source agrees
0050,2013-10-24,1.350000,1.35,official source agrees
0050,2014-10-24,1.550000,1.55,official source agrees
0050,2015-10-26,2.000000,2.0,official source agrees
0050,2016-07-28,0.850000,0.85,official source agrees
0050,2017-02-08,1.700000,1.7,official source agrees
0050,2017-07-31,0.700000,0.7,official source agrees
0050,2018-01-29,2.200000,2.2,official source agrees
0050,2018-07-23,0.700000,0.7,official source agrees
0052,2010-05-03,1.400000,1.4,official source agrees
0052,2012-05-07,2.374000,2.374,official source agrees
0052,2014-05-06,2.462000,2.462,official source agrees
0052,2016-05-04,2.439000,2.439,official source agrees
0052,2017-05-03,1.410000,1.41,official source agrees
0052,2018-05-03,1.720000,1.72,official source agrees
