instrument,event_date,event_type,source,source_authority,cash_distribution,split_ratio,confidence,primary_raw_artifact_path,secondary_raw_artifact_path
0050,2010-10-25,CASH_DISTRIBUTION,TWSE TWT49U; TWSE ETF/etfDiv,TWSE_OFFICIAL_PRIMARY_AND_SECONDARY,2.200000,,CROSS_CHECKED,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_ex_right_2010_2018.json,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_etf_div_0050_2010_2018.json
0050,2011-10-26,CASH_DISTRIBUTION,TWSE TWT49U; TWSE ETF/etfDiv,TWSE_OFFICIAL_PRIMARY_AND_SECONDARY,1.950000,,CROSS_CHECKED,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_ex_right_2010_2018.json,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_etf_div_0050_2010_2018.json
0050,2012-10-24,CASH_DISTRIBUTION,TWSE TWT49U; TWSE ETF/etfDiv,TWSE_OFFICIAL_PRIMARY_AND_SECONDARY,1.850000,,CROSS_CHECKED,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_ex_right_2010_2018.json,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_etf_div_0050_2010_2018.json
0050,2013-10-24,CASH_DISTRIBUTION,TWSE TWT49U; TWSE ETF/etfDiv,TWSE_OFFICIAL_PRIMARY_AND_SECONDARY,1.350000,,CROSS_CHECKED,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_ex_right_2010_2018.json,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_etf_div_0050_2010_2018.json
0050,2014-10-24,CASH_DISTRIBUTION,TWSE TWT49U; TWSE ETF/etfDiv,TWSE_OFFICIAL_PRIMARY_AND_SECONDARY,1.550000,,CROSS_CHECKED,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_ex_right_2010_2018.json,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_etf_div_0050_2010_2018.json
0050,2015-10-26,CASH_DISTRIBUTION,TWSE TWT49U; TWSE ETF/etfDiv,TWSE_OFFICIAL_PRIMARY_AND_SECONDARY,2.000000,,CROSS_CHECKED,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_ex_right_2010_2018.json,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_etf_div_0050_2010_2018.json
0050,2016-07-28,CASH_DISTRIBUTION,TWSE TWT49U; TWSE ETF/etfDiv,TWSE_OFFICIAL_PRIMARY_AND_SECONDARY,0.850000,,CROSS_CHECKED,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_ex_right_2010_2018.json,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_etf_div_0050_2010_2018.json
0050,2017-02-08,CASH_DISTRIBUTION,TWSE TWT49U; TWSE ETF/etfDiv,TWSE_OFFICIAL_PRIMARY_AND_SECONDARY,1.700000,,CROSS_CHECKED,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_ex_right_2010_2018.json,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_etf_div_0050_2010_2018.json
0050,2017-07-31,CASH_DISTRIBUTION,TWSE TWT49U; TWSE ETF/etfDiv,TWSE_OFFICIAL_PRIMARY_AND_SECONDARY,0.700000,,CROSS_CHECKED,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_ex_right_2010_2018.json,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_etf_div_0050_2010_2018.json
0050,2018-01-29,CASH_DISTRIBUTION,TWSE TWT49U; TWSE ETF/etfDiv,TWSE_OFFICIAL_PRIMARY_AND_SECONDARY,2.200000,,CROSS_CHECKED,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_ex_right_2010_2018.json,C:/projetos2026/Delta-Vega/Quant_AI_Itau_Challenge/data/raw/cm_001/stage_a_closure_2010_2018/twse_etf_div_0050_2010_2018.json
