source,url_or_endpoint,retrieval_date,instrument,period,raw_artifact_path,parser_version
Taiwan Stock Exchange,https://www.twse.com.tw/rwd/en/afterTrading/STOCK_DAY,2026-08-14,0052/0050,2010-01-01..2018-12-31,data/raw/cm_001/twse_official_audit_2007_2018/{instrument}_YYYYMM01.json,cross_market_stage_a_closure.load_twse_stock_day v1
Taiwan Stock Exchange,https://www.twse.com.tw/rwd/en/TAIEX/MI_5MINS_HIST,2026-08-14,TAIEX,2010-01-01..2018-12-31,data/raw/cm_001/twse_official_audit_2007_2018/TAIEX_YYYYMM01.json,cross_market_stage_a_closure.load_twse_taiex_presence v1
Taiwan Stock Exchange,https://www.twse.com.tw/rwd/en/afterTrading/MI_INDEX,2026-08-14,0052,15 pre-specified Research dates,data/raw/cm_001/stage_a_closure_2010_2018/twse_mi_index_0052_YYYYMMDD.json,cross_market_stage_a_closure.load_missing_crosscheck v1
Taiwan Stock Exchange,https://www.twse.com.tw/rwd/zh/exRight/TWT49U,2026-08-14,0052/0050,2010-01-01..2018-12-31,data/raw/cm_001/stage_a_closure_2010_2018/twse_ex_right_2010_2018.json,cross_market_stage_a_closure.load_corporate_action_master v1
Taiwan Stock Exchange,https://www.twse.com.tw/rwd/zh/ETF/etfDiv,2026-08-14,0052/0050,2010-01-01..2018-12-31,data/raw/cm_001/stage_a_closure_2010_2018/twse_etf_div_{instrument}_2010_2018.json,cross_market_stage_a_closure.load_corporate_action_master v1
Taiwan Stock Exchange,https://www.twse.com.tw/rwd/en/afterTrading/TWTAWU,2026-08-14,0052,2011-10-03..2018-12-31 (endpoint coverage),data/raw/cm_001/stage_a_closure_2010_2018/twse_halts_0052_20111003_20181231.json,JSON field audit v1
Yahoo Finance Chart API,https://query1.finance.yahoo.com/v8/finance/chart/{symbol},2026-08-14,XSD/QQQ/SPY; Taiwan reference only,parsed Research subset 2010-01-01..2018-12-31,data/raw/cm_001/yahoo_chart_2007_2018_v2/{instrument}_response.json,cross_market_stage_a_closure.yahoo_presence v1
exchange-calendars,local package calendars XNYS/XNAS/ARCX/XTAI,2026-08-14,market calendars,2010-01-01..2018-12-31,N/A — installed package schedule,exchange-calendars==4.13.2
TWSE official documentation,https://www.twse.com.tw/en/products/system/trading.html; https://www.twse.com.tw/en/about/company/history.html; https://www.twse.com.tw/en/clearing/suspended.html,2026-08-14,Taiwan market,rules applicable to Research,"N/A — official documentation pages, no price payload",manual structural documentation audit
Yahoo Finance Help,https://help.yahoo.com/kb/adjusted-close-sln28256.html,2026-08-14,provider field semantics,documentation,"N/A — provider documentation page, no price payload",manual documentation audit
