open,high,low,close,session_date,source_timestamp_utc
8222.42,8240.45,8143.45,8207.85,2010-01-04,2010-01-04 01:00:00+00:00
8277.71,8283.64,8162.54,8211.4,2010-01-05,2010-01-05 01:00:00+00:00
8237.1,8327.87,8216.92,8327.62,2010-01-06,2010-01-06 01:00:00+00:00
8344.56,8369.55,8233.59,8237.42,2010-01-07,2010-01-07 01:00:00+00:00
8266.87,8290.66,8178.93,8280.9,2010-01-08,2010-01-08 01:00:00+00:00
8291.52,8357.9,8281.72,8323.82,2010-01-11,2010-01-11 01:00:00+00:00
8343.73,8356.97,8262.58,8309.37,2010-01-12,2010-01-12 01:00:00+00:00
8229.25,8257.83,8194.81,8196.56,2010-01-13,2010-01-13 01:00:00+00:00
8245.86,8313.94,8237.67,8289.98,2010-01-14,2010-01-14 01:00:00+00:00
8340.6,8380.23,8325.82,8356.89,2010-01-15,2010-01-15 01:00:00+00:00
8290.38,8367.65,8290.38,8337.82,2010-01-18,2010-01-18 01:00:00+00:00
8387.66,8395.39,8227.3,8249.0,2010-01-19,2010-01-19 01:00:00+00:00
8309.19,8309.19,8191.44,8220.93,2010-01-20,2010-01-20 01:00:00+00:00
8189.5,8208.21,8107.55,8127.87,2010-01-21,2010-01-21 01:00:00+00:00
7986.43,8015.95,7912.85,7927.31,2010-01-22,2010-01-22 01:00:00+00:00
7845.3,7938.14,7828.34,7872.99,2010-01-25,2010-01-25 01:00:00+00:00
7903.03,7922.07,7572.58,7598.81,2010-01-26,2010-01-26 01:00:00+00:00
7639.72,7656.95,7530.41,7560.03,2010-01-27,2010-01-27 01:00:00+00:00
7630.16,7756.77,7607.56,7694.58,2010-01-28,2010-01-28 01:00:00+00:00
7593.38,7649.73,7481.9,7640.44,2010-01-29,2010-01-29 01:00:00+00:00
7653.89,7661.7,7493.81,7524.67,2010-02-01,2010-02-01 01:00:00+00:00
7633.74,7635.73,7398.8,7429.61,2010-02-02,2010-02-02 01:00:00+00:00
7523.79,7550.82,7441.92,7547.98,2010-02-03,2010-02-03 01:00:00+00:00
7563.19,7578.18,7504.96,7542.04,2010-02-04,2010-02-04 01:00:00+00:00
7323.16,7352.98,7196.39,7217.83,2010-02-05,2010-02-05 01:00:00+00:00
7244.71,7249.19,7080.9,7212.87,2010-02-06,2010-02-06 01:00:00+00:00
7236.63,7253.24,7173.18,7215.88,2010-02-08,2010-02-08 01:00:00+00:00
7225.71,7381.82,7197.13,7361.04,2010-02-09,2010-02-09 01:00:00+00:00
7438.12,7496.34,7404.97,7441.84,2010-02-10,2010-02-10 01:00:00+00:00
7619.87,7619.87,7553.29,7560.04,2010-02-22,2010-02-22 01:00:00+00:00
7575.62,7597.44,7502.45,7597.44,2010-02-23,2010-02-23 01:00:00+00:00
7516.47,7585.19,7515.38,7529.67,2010-02-24,2010-02-24 01:00:00+00:00
7568.42,7568.42,7400.42,7426.96,2010-02-25,2010-02-25 01:00:00+00:00
7451.17,7479.28,7383.68,7436.1,2010-02-26,2010-02-26 01:00:00+00:00
7492.84,7620.56,7451.09,7577.75,2010-03-01,2010-03-01 01:00:00+00:00
7649.62,7664.49,7592.66,7597.62,2010-03-02,2010-03-02 01:00:00+00:00
7628.78,7670.25,7604.86,7629.52,2010-03-03,2010-03-03 01:00:00+00:00
7664.0,7664.0,7524.19,7569.8,2010-03-04,2010-03-04 01:00:00+00:00
7659.76,7694.89,7618.0,7666.26,2010-03-05,2010-03-05 01:00:00+00:00
7741.8,7763.76,7716.28,7762.27,2010-03-08,2010-03-08 01:00:00+00:00
7762.4,7770.59,7737.65,7770.59,2010-03-09,2010-03-09 01:00:00+00:00
7797.7,7803.27,7736.7,7779.08,2010-03-10,2010-03-10 01:00:00+00:00
7817.59,7818.84,7749.4,7749.66,2010-03-11,2010-03-11 01:00:00+00:00
7773.52,7773.52,7726.09,7748.33,2010-03-12,2010-03-12 01:00:00+00:00
7750.87,7766.36,7634.92,7634.92,2010-03-15,2010-03-15 01:00:00+00:00
7671.41,7695.81,7645.17,7695.63,2010-03-16,2010-03-16 01:00:00+00:00
7763.43,7849.38,7762.85,7847.84,2010-03-17,2010-03-17 01:00:00+00:00
7861.27,7922.48,7847.55,7886.34,2010-03-18,2010-03-18 01:00:00+00:00
7899.01,7899.01,7859.29,7897.91,2010-03-19,2010-03-19 01:00:00+00:00
7861.9,7872.78,7791.25,7835.98,2010-03-22,2010-03-22 01:00:00+00:00
7880.12,7889.04,7804.4,7811.87,2010-03-23,2010-03-23 01:00:00+00:00
7875.27,7881.37,7822.71,7822.71,2010-03-24,2010-03-24 01:00:00+00:00
7824.74,7856.31,7753.51,7838.1,2010-03-25,2010-03-25 01:00:00+00:00
7808.15,7909.41,7770.42,7876.86,2010-03-26,2010-03-26 01:00:00+00:00
7918.95,7961.14,7909.06,7947.45,2010-03-29,2010-03-29 01:00:00+00:00
7992.12,7994.62,7942.47,7962.22,2010-03-30,2010-03-30 01:00:00+00:00
7962.91,7974.89,7920.06,7920.06,2010-03-31,2010-03-31 01:00:00+00:00
7952.62,8026.06,7952.62,8013.09,2010-04-01,2010-04-01 01:00:00+00:00
8046.29,8050.99,8021.91,8025.93,2010-04-02,2010-04-02 01:00:00+00:00
8083.03,8128.08,8082.37,8089.65,2010-04-06,2010-04-06 01:00:00+00:00
8131.4,8133.45,8091.28,8121.78,2010-04-07,2010-04-07 01:00:00+00:00
8106.0,8149.68,8038.37,8057.6,2010-04-08,2010-04-08 01:00:00+00:00
8073.52,8094.35,8039.41,8092.03,2010-04-09,2010-04-09 01:00:00+00:00
8149.76,8152.53,8092.94,8117.75,2010-04-12,2010-04-12 01:00:00+00:00
8090.54,8104.14,8022.94,8029.73,2010-04-13,2010-04-13 01:00:00+00:00
8077.94,8102.38,8040.01,8097.13,2010-04-14,2010-04-14 01:00:00+00:00
8168.11,8190.01,8136.32,8171.94,2010-04-15,2010-04-15 01:00:00+00:00
8161.85,8162.85,8090.68,8111.57,2010-04-16,2010-04-16 01:00:00+00:00
8003.02,8042.05,7845.77,7854.22,2010-04-19,2010-04-19 01:00:00+00:00
7908.11,7923.27,7842.07,7900.42,2010-04-20,2010-04-20 01:00:00+00:00
7949.96,7998.76,7947.9,7990.53,2010-04-21,2010-04-21 01:00:00+00:00
7948.89,7985.49,7897.14,7978.69,2010-04-22,2010-04-22 01:00:00+00:00
8021.71,8030.11,7996.77,8004.89,2010-04-23,2010-04-23 01:00:00+00:00
8107.22,8168.47,8093.14,8158.14,2010-04-26,2010-04-26 01:00:00+00:00
8174.85,8174.85,8121.14,8146.44,2010-04-27,2010-04-27 01:00:00+00:00
7944.7,8092.48,7944.7,8081.55,2010-04-28,2010-04-28 01:00:00+00:00
8105.96,8107.36,8053.02,8054.05,2010-04-29,2010-04-29 01:00:00+00:00
8116.39,8163.94,7999.28,8004.25,2010-04-30,2010-04-30 01:00:00+00:00
7979.8,8022.45,7916.04,7952.17,2010-05-03,2010-05-03 01:00:00+00:00
8006.79,8010.98,7889.93,7930.77,2010-05-04,2010-05-04 01:00:00+00:00
7759.18,7785.55,7695.69,7696.9,2010-05-05,2010-05-05 01:00:00+00:00
7696.27,7702.11,7562.03,7579.48,2010-05-06,2010-05-06 01:00:00+00:00
7393.27,7572.79,7387.19,7567.1,2010-05-07,2010-05-07 01:00:00+00:00
7610.88,7664.73,7577.31,7664.73,2010-05-10,2010-05-10 01:00:00+00:00
7718.17,7743.41,7608.44,7608.44,2010-05-11,2010-05-11 01:00:00+00:00
7663.34,7674.52,7596.21,7602.7,2010-05-12,2010-05-12 01:00:00+00:00
7703.48,7787.32,7687.55,7770.57,2010-05-13,2010-05-13 01:00:00+00:00
7735.6,7772.54,7725.82,7772.13,2010-05-14,2010-05-14 01:00:00+00:00
7697.79,7697.79,7574.06,7598.72,2010-05-17,2010-05-17 01:00:00+00:00
7630.1,7637.99,7560.89,7585.3,2010-05-18,2010-05-18 01:00:00+00:00
7527.62,7588.09,7467.2,7559.16,2010-05-19,2010-05-19 01:00:00+00:00
7557.17,7557.17,7424.43,7424.43,2010-05-20,2010-05-20 01:00:00+00:00
7229.17,7277.93,7164.21,7237.71,2010-05-21,2010-05-21 01:00:00+00:00
7296.15,7344.92,7269.81,7322.73,2010-05-24,2010-05-24 01:00:00+00:00
7238.16,7241.84,7032.4,7086.37,2010-05-25,2010-05-25 01:00:00+00:00
7161.4,7174.38,7079.85,7167.35,2010-05-26,2010-05-26 01:00:00+00:00
7139.45,7254.68,7105.11,7243.16,2010-05-27,2010-05-27 01:00:00+00:00
7338.77,7364.01,7271.3,7295.32,2010-05-28,2010-05-28 01:00:00+00:00
