instrument,field,rows,comma_decimal_strings,parser_created_nulls
XSD,open,3020,2977,2977
XSD,high,3020,2996,2996
XSD,low,3020,2980,2980
XSD,close,3020,2997,2997
XSD,adj_close,3020,3020,3020
QQQ,open,3020,2986,2986
QQQ,high,3020,2991,2991
QQQ,low,3020,2986,2986
QQQ,close,3020,2987,2987
QQQ,adj_close,3020,3020,3020
SPY,open,3020,2978,2978
SPY,high,3020,2980,2980
SPY,low,3020,2968,2968
SPY,close,3020,2987,2987
SPY,adj_close,3020,3020,3020
0052,open,2720,2325,2325
0052,high,2720,2563,2563
0052,low,2720,2579,2579
0052,close,2720,2572,2572
0052,adj_close,2720,2711,2711
TAIEX,open,2964,2914,2914
TAIEX,high,2964,2929,2929
TAIEX,low,2964,2918,2918
TAIEX,close,2964,2921,2921
TAIEX,adj_close,2964,2940,2940
0050,open,2469,2332,2332
0050,high,2469,2375,2375
0050,low,2469,2364,2364
0050,close,2469,2365,2365
0050,adj_close,2469,2464,2464
