category,target_session,previous_tw_close_utc,us_open_timestamps_utc,us_close_timestamps_utc,current_tw_open_utc,mapping_status,n_us_sessions
Normal session,2010-01-05,2010-01-04 05:30:00+00:00,2010-01-04T14:30:00+00:00,2010-01-04T21:00:00+00:00,2010-01-05 01:00:00+00:00,VALID,1
Additional normal session,2010-01-06,2010-01-05 05:30:00+00:00,2010-01-05T14:30:00+00:00,2010-01-05T21:00:00+00:00,2010-01-06 01:00:00+00:00,VALID,1
Weekend,2010-01-11,2010-01-08 05:30:00+00:00,2010-01-08T14:30:00+00:00,2010-01-08T21:00:00+00:00,2010-01-11 01:00:00+00:00,VALID,1
US holiday / zero-US window,2010-01-19,2010-01-18 05:30:00+00:00,,,2010-01-19 01:00:00+00:00,EMPTY_US_WINDOW,0
Taiwan Saturday session,2010-02-06,2010-02-05 05:30:00+00:00,2010-02-05T14:30:00+00:00,2010-02-05T21:00:00+00:00,2010-02-06 01:00:00+00:00,VALID,1
Taiwan Lunar New Year gap,2010-02-22,2010-02-10 05:30:00+00:00,2010-02-10T14:30:00+00:00;2010-02-11T14:30:00+00:00;2010-02-12T14:30:00+00:00;2010-02-16T14:30:00+00:00;2010-02-17T14:30:00+00:00;2010-02-18T14:30:00+00:00;2010-02-19T14:30:00+00:00,2010-02-10T21:00:00+00:00;2010-02-11T21:00:00+00:00;2010-02-12T21:00:00+00:00;2010-02-16T21:00:00+00:00;2010-02-17T21:00:00+00:00;2010-02-18T21:00:00+00:00;2010-02-19T21:00:00+00:00,2010-02-22 01:00:00+00:00,VALID,7
US DST start,2010-03-16,2010-03-15 05:30:00+00:00,2010-03-15T13:30:00+00:00,2010-03-15T20:00:00+00:00,2010-03-16 01:00:00+00:00,VALID,1
Multiple-US-session window,2010-06-17,2010-06-15 05:30:00+00:00,2010-06-15T13:30:00+00:00;2010-06-16T13:30:00+00:00,2010-06-15T20:00:00+00:00;2010-06-16T20:00:00+00:00,2010-06-17 01:00:00+00:00,VALID,2
US DST end,2010-11-09,2010-11-08 05:30:00+00:00,2010-11-08T14:30:00+00:00,2010-11-08T21:00:00+00:00,2010-11-09 01:00:00+00:00,VALID,1
US early close,2010-11-29,2010-11-26 05:30:00+00:00,2010-11-26T14:30:00+00:00,2010-11-26T18:00:00+00:00,2010-11-29 01:00:00+00:00,VALID,1
