target_session,previous_tw_close_utc,current_tw_open_utc,mapping_status,n_us_calendar_sessions,n_us_sessions,us_session_dates,us_open_timestamps_utc,us_close_timestamps_utc,feature_information_end_utc,us_early_close_sessions
2010-01-04,,2010-01-04 01:00:00+00:00,NO_PREVIOUS_TW_SESSION,0,0,,,,,0
2010-01-05,2010-01-04 05:30:00+00:00,2010-01-05 01:00:00+00:00,VALID,1,1,2010-01-04,2010-01-04T14:30:00+00:00,2010-01-04T21:00:00+00:00,2010-01-04 21:00:00+00:00,0
2010-01-06,2010-01-05 05:30:00+00:00,2010-01-06 01:00:00+00:00,VALID,1,1,2010-01-05,2010-01-05T14:30:00+00:00,2010-01-05T21:00:00+00:00,2010-01-05 21:00:00+00:00,0
2010-01-07,2010-01-06 05:30:00+00:00,2010-01-07 01:00:00+00:00,VALID,1,1,2010-01-06,2010-01-06T14:30:00+00:00,2010-01-06T21:00:00+00:00,2010-01-06 21:00:00+00:00,0
2010-01-08,2010-01-07 05:30:00+00:00,2010-01-08 01:00:00+00:00,VALID,1,1,2010-01-07,2010-01-07T14:30:00+00:00,2010-01-07T21:00:00+00:00,2010-01-07 21:00:00+00:00,0
2010-01-11,2010-01-08 05:30:00+00:00,2010-01-11 01:00:00+00:00,VALID,1,1,2010-01-08,2010-01-08T14:30:00+00:00,2010-01-08T21:00:00+00:00,2010-01-08 21:00:00+00:00,0
2010-01-12,2010-01-11 05:30:00+00:00,2010-01-12 01:00:00+00:00,VALID,1,1,2010-01-11,2010-01-11T14:30:00+00:00,2010-01-11T21:00:00+00:00,2010-01-11 21:00:00+00:00,0
2010-01-13,2010-01-12 05:30:00+00:00,2010-01-13 01:00:00+00:00,VALID,1,1,2010-01-12,2010-01-12T14:30:00+00:00,2010-01-12T21:00:00+00:00,2010-01-12 21:00:00+00:00,0
2010-01-14,2010-01-13 05:30:00+00:00,2010-01-14 01:00:00+00:00,VALID,1,1,2010-01-13,2010-01-13T14:30:00+00:00,2010-01-13T21:00:00+00:00,2010-01-13 21:00:00+00:00,0
2010-01-15,2010-01-14 05:30:00+00:00,2010-01-15 01:00:00+00:00,VALID,1,1,2010-01-14,2010-01-14T14:30:00+00:00,2010-01-14T21:00:00+00:00,2010-01-14 21:00:00+00:00,0
2010-01-18,2010-01-15 05:30:00+00:00,2010-01-18 01:00:00+00:00,VALID,1,1,2010-01-15,2010-01-15T14:30:00+00:00,2010-01-15T21:00:00+00:00,2010-01-15 21:00:00+00:00,0
2010-01-19,2010-01-18 05:30:00+00:00,2010-01-19 01:00:00+00:00,EMPTY_US_WINDOW,0,0,,,,,0
2010-01-20,2010-01-19 05:30:00+00:00,2010-01-20 01:00:00+00:00,VALID,1,1,2010-01-19,2010-01-19T14:30:00+00:00,2010-01-19T21:00:00+00:00,2010-01-19 21:00:00+00:00,0
2010-01-21,2010-01-20 05:30:00+00:00,2010-01-21 01:00:00+00:00,VALID,1,1,2010-01-20,2010-01-20T14:30:00+00:00,2010-01-20T21:00:00+00:00,2010-01-20 21:00:00+00:00,0
