symbol,source_timestamp,source_timestamp_utc,session_date,boundary_status,action_type,amount,numerator,denominator,split_ratio,raw_event_json
SPY,1048257000,2003-03-21T14:30:00+00:00,2003-03-21,IN_SCOPE,DIVIDEND,0.354,,,,"{""amount"":0.354,""date"":1048257000}"
SPY,1056115800,2003-06-20T13:30:00+00:00,2003-06-20,IN_SCOPE,DIVIDEND,0.36,,,,"{""amount"":0.36,""date"":1056115800}"
SPY,1063978200,2003-09-19T13:30:00+00:00,2003-09-19,IN_SCOPE,DIVIDEND,0.4,,,,"{""amount"":0.4,""date"":1063978200}"
SPY,1071844200,2003-12-19T14:30:00+00:00,2003-12-19,IN_SCOPE,DIVIDEND,0.516,,,,"{""amount"":0.516,""date"":1071844200}"
SPY,1079706600,2004-03-19T14:30:00+00:00,2004-03-19,IN_SCOPE,DIVIDEND,0.395,,,,"{""amount"":0.395,""date"":1079706600}"
SPY,1087565400,2004-06-18T13:30:00+00:00,2004-06-18,IN_SCOPE,DIVIDEND,0.414,,,,"{""amount"":0.414,""date"":1087565400}"
SPY,1095427800,2004-09-17T13:30:00+00:00,2004-09-17,IN_SCOPE,DIVIDEND,0.469,,,,"{""amount"":0.469,""date"":1095427800}"
SPY,1100529000,2004-11-15T14:30:00+00:00,2004-11-15,IN_SCOPE,DIVIDEND,0.351,,,,"{""amount"":0.351,""date"":1100529000}"
SPY,1103293800,2004-12-17T14:30:00+00:00,2004-12-17,IN_SCOPE,DIVIDEND,0.568,,,,"{""amount"":0.568,""date"":1103293800}"
SPY,1111156200,2005-03-18T14:30:00+00:00,2005-03-18,IN_SCOPE,DIVIDEND,0.467,,,,"{""amount"":0.467,""date"":1111156200}"
SPY,1119015000,2005-06-17T13:30:00+00:00,2005-06-17,IN_SCOPE,DIVIDEND,0.488,,,,"{""amount"":0.488,""date"":1119015000}"
SPY,1126877400,2005-09-16T13:30:00+00:00,2005-09-16,IN_SCOPE,DIVIDEND,0.522,,,,"{""amount"":0.522,""date"":1126877400}"
SPY,1134743400,2005-12-16T14:30:00+00:00,2005-12-16,IN_SCOPE,DIVIDEND,0.672,,,,"{""amount"":0.672,""date"":1134743400}"
SPY,1142605800,2006-03-17T14:30:00+00:00,2006-03-17,IN_SCOPE,DIVIDEND,0.519,,,,"{""amount"":0.519,""date"":1142605800}"
SPY,1150464600,2006-06-16T13:30:00+00:00,2006-06-16,IN_SCOPE,DIVIDEND,0.555,,,,"{""amount"":0.555,""date"":1150464600}"
SPY,1158327000,2006-09-15T13:30:00+00:00,2006-09-15,IN_SCOPE,DIVIDEND,0.579,,,,"{""amount"":0.579,""date"":1158327000}"
SPY,1166193000,2006-12-15T14:30:00+00:00,2006-12-15,IN_SCOPE,DIVIDEND,0.793,,,,"{""amount"":0.793,""date"":1166193000}"
SPY,1174051800,2007-03-16T13:30:00+00:00,2007-03-16,IN_SCOPE,DIVIDEND,0.551,,,,"{""amount"":0.551,""date"":1174051800}"
SPY,1181914200,2007-06-15T13:30:00+00:00,2007-06-15,IN_SCOPE,DIVIDEND,0.656,,,,"{""amount"":0.656,""date"":1181914200}"
SPY,1190381400,2007-09-21T13:30:00+00:00,2007-09-21,IN_SCOPE,DIVIDEND,0.719,,,,"{""amount"":0.719,""date"":1190381400}"
SPY,1198247400,2007-12-21T14:30:00+00:00,2007-12-21,IN_SCOPE,DIVIDEND,0.775,,,,"{""amount"":0.775,""date"":1198247400}"
SPY,1206019800,2008-03-20T13:30:00+00:00,2008-03-20,IN_SCOPE,DIVIDEND,0.642,,,,"{""amount"":0.642,""date"":1206019800}"
SPY,1213968600,2008-06-20T13:30:00+00:00,2008-06-20,IN_SCOPE,DIVIDEND,0.669,,,,"{""amount"":0.669,""date"":1213968600}"
SPY,1221831000,2008-09-19T13:30:00+00:00,2008-09-19,IN_SCOPE,DIVIDEND,0.691,,,,"{""amount"":0.691,""date"":1221831000}"
SPY,1229697000,2008-12-19T14:30:00+00:00,2008-12-19,IN_SCOPE,DIVIDEND,0.719,,,,"{""amount"":0.719,""date"":1229697000}"
