symbol,field_name,classification,emitted,remediation_action
SPY,chartPreviousClose,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
SPY,currency,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
SPY,currentTradingPeriod,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
SPY,dataGranularity,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
SPY,exchangeName,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
SPY,exchangeTimezoneName,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
SPY,fiftyTwoWeekHigh,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
SPY,fiftyTwoWeekLow,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
SPY,firstTradeDate,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
SPY,fullExchangeName,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
SPY,gmtoffset,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
SPY,hasPrePostMarketData,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
SPY,instrumentType,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
SPY,longName,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
SPY,priceHint,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
SPY,range,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
SPY,regularMarketDayHigh,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
SPY,regularMarketDayLow,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
SPY,regularMarketPrice,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
SPY,regularMarketTime,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
SPY,regularMarketVolume,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
SPY,shortName,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
SPY,symbol,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
SPY,timezone,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
SPY,validRanges,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
QQQ,chartPreviousClose,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
QQQ,currency,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
QQQ,currentTradingPeriod,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
QQQ,dataGranularity,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
QQQ,exchangeName,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
QQQ,exchangeTimezoneName,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
QQQ,fiftyTwoWeekHigh,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
QQQ,fiftyTwoWeekLow,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
QQQ,firstTradeDate,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
QQQ,fullExchangeName,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
QQQ,gmtoffset,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
QQQ,hasPrePostMarketData,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
QQQ,instrumentType,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
QQQ,longName,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
QQQ,priceHint,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
QQQ,range,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
QQQ,regularMarketDayHigh,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
QQQ,regularMarketDayLow,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
QQQ,regularMarketPrice,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
QQQ,regularMarketTime,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
QQQ,regularMarketVolume,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
QQQ,shortName,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
QQQ,symbol,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
QQQ,timezone,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
