symbol,month,expected_sessions,observed_sessions,complete_ohlc_sessions,missing_ohlc_sessions,volume_null_sessions,volume_zero_sessions
SPY,2003-01,21,21,21,0,0,0
SPY,2003-02,19,19,19,0,0,0
SPY,2003-03,21,21,21,0,0,0
SPY,2003-04,21,21,21,0,0,0
SPY,2003-05,21,21,21,0,0,0
SPY,2003-06,21,21,21,0,0,0
SPY,2003-07,22,22,22,0,0,0
SPY,2003-08,21,21,21,0,0,0
SPY,2003-09,21,21,21,0,0,0
SPY,2003-10,23,23,23,0,0,0
SPY,2003-11,19,19,19,0,0,0
SPY,2003-12,22,22,22,0,0,0
SPY,2004-01,20,20,20,0,0,0
SPY,2004-02,19,19,19,0,0,0
SPY,2004-03,23,23,23,0,0,0
SPY,2004-04,21,21,21,0,0,0
SPY,2004-05,20,20,20,0,0,0
SPY,2004-06,21,21,21,0,0,0
SPY,2004-07,21,21,21,0,0,0
SPY,2004-08,22,22,22,0,0,0
SPY,2004-09,21,21,21,0,0,0
SPY,2004-10,21,21,21,0,0,0
SPY,2004-11,21,21,21,0,0,0
SPY,2004-12,22,22,22,0,0,0
SPY,2005-01,20,20,20,0,0,0
SPY,2005-02,19,19,19,0,0,0
SPY,2005-03,22,22,22,0,0,0
SPY,2005-04,21,21,21,0,0,0
SPY,2005-05,21,21,21,0,0,0
SPY,2005-06,22,22,22,0,0,0
SPY,2005-07,20,20,20,0,0,0
SPY,2005-08,23,23,23,0,0,0
SPY,2005-09,21,21,21,0,0,0
SPY,2005-10,21,21,21,0,0,0
SPY,2005-11,21,21,21,0,0,0
SPY,2005-12,21,21,21,0,0,0
SPY,2006-01,20,20,20,0,0,0
SPY,2006-02,19,19,19,0,0,0
SPY,2006-03,23,23,23,0,0,0
SPY,2006-04,19,19,19,0,0,0
SPY,2006-05,22,22,22,0,0,0
SPY,2006-06,22,22,22,0,0,0
SPY,2006-07,20,20,20,0,0,0
SPY,2006-08,23,23,23,0,0,0
SPY,2006-09,20,20,20,0,0,0
SPY,2006-10,22,22,22,0,0,0
SPY,2006-11,21,21,21,0,0,0
SPY,2006-12,20,20,20,0,0,0
SPY,2007-01,20,20,20,0,0,0
SPY,2007-02,19,19,19,0,0,0
SPY,2007-03,22,22,22,0,0,0
SPY,2007-04,20,20,20,0,0,0
SPY,2007-05,22,22,22,0,0,0
SPY,2007-06,21,21,21,0,0,0
SPY,2007-07,21,21,21,0,0,0
SPY,2007-08,23,23,23,0,0,0
SPY,2007-09,19,19,19,0,0,0
SPY,2007-10,23,23,23,0,0,0
SPY,2007-11,21,21,21,0,0,0
SPY,2007-12,20,20,20,0,0,0
SPY,2008-01,21,21,21,0,0,0
SPY,2008-02,20,20,20,0,0,0
SPY,2008-03,20,20,20,0,0,0
SPY,2008-04,22,22,22,0,0,0
SPY,2008-05,21,21,21,0,0,0
SPY,2008-06,21,21,21,0,0,0
SPY,2008-07,22,22,22,0,0,0
SPY,2008-08,21,21,21,0,0,0
SPY,2008-09,21,21,21,0,0,0
SPY,2008-10,23,23,23,0,0,0
SPY,2008-11,19,19,19,0,0,0
SPY,2008-12,22,22,22,0,0,0
SPY,2009-01,20,20,20,0,0,0
SPY,2009-02,19,19,19,0,0,0
