symbol,location,field,present,provider_type,array_length
SPY,root,chart,True,object,
SPY,chart,result,True,array,1.0
SPY,chart,error,True,null,
SPY,chart.result[0],meta,True,object,
SPY,chart.result[0],timestamp,True,array,3525.0
SPY,chart.result[0],indicators,True,object,
SPY,indicators,quote,True,array,1.0
SPY,indicators,adjclose,True,array,1.0
SPY,indicators.quote[0],open,True,array,3525.0
SPY,indicators.quote[0],high,True,array,3525.0
SPY,indicators.quote[0],low,True,array,3525.0
SPY,indicators.quote[0],close,True,array,3525.0
SPY,indicators.quote[0],volume,True,array,3525.0
SPY,indicators.adjclose[0],adjclose,True,array,3525.0
SPY,chart.result[0],events,True,object,
SPY,events,dividends,True,object,
SPY,events,splits,False,missing,
SPY,events,capitalGains,False,missing,
QQQ,root,chart,True,object,
QQQ,chart,result,True,array,1.0
QQQ,chart,error,True,null,
QQQ,chart.result[0],meta,True,object,
QQQ,chart.result[0],timestamp,True,array,3525.0
QQQ,chart.result[0],indicators,True,object,
QQQ,indicators,quote,True,array,1.0
QQQ,indicators,adjclose,True,array,1.0
QQQ,indicators.quote[0],open,True,array,3525.0
QQQ,indicators.quote[0],high,True,array,3525.0
QQQ,indicators.quote[0],low,True,array,3525.0
QQQ,indicators.quote[0],close,True,array,3525.0
QQQ,indicators.quote[0],volume,True,array,3525.0
QQQ,indicators.adjclose[0],adjclose,True,array,3525.0
QQQ,chart.result[0],events,True,object,
QQQ,events,dividends,True,object,
QQQ,events,splits,False,missing,
QQQ,events,capitalGains,False,missing,
IWM,root,chart,True,object,
IWM,chart,result,True,array,1.0
IWM,chart,error,True,null,
IWM,chart.result[0],meta,True,object,
IWM,chart.result[0],timestamp,True,array,3525.0
IWM,chart.result[0],indicators,True,object,
IWM,indicators,quote,True,array,1.0
IWM,indicators,adjclose,True,array,1.0
IWM,indicators.quote[0],open,True,array,3525.0
IWM,indicators.quote[0],high,True,array,3525.0
IWM,indicators.quote[0],low,True,array,3525.0
IWM,indicators.quote[0],close,True,array,3525.0
IWM,indicators.quote[0],volume,True,array,3525.0
IWM,indicators.adjclose[0],adjclose,True,array,3525.0
IWM,chart.result[0],events,True,object,
IWM,events,dividends,True,object,
IWM,events,splits,True,object,
IWM,events,capitalGains,False,missing,
DIA,root,chart,True,object,
DIA,chart,result,True,array,1.0
DIA,chart,error,True,null,
DIA,chart.result[0],meta,True,object,
DIA,chart.result[0],timestamp,True,array,3525.0
DIA,chart.result[0],indicators,True,object,
DIA,indicators,quote,True,array,1.0
DIA,indicators,adjclose,True,array,1.0
DIA,indicators.quote[0],open,True,array,3525.0
DIA,indicators.quote[0],high,True,array,3525.0
DIA,indicators.quote[0],low,True,array,3525.0
DIA,indicators.quote[0],close,True,array,3525.0
DIA,indicators.quote[0],volume,True,array,3525.0
DIA,indicators.adjclose[0],adjclose,True,array,3525.0
DIA,chart.result[0],events,True,object,
DIA,events,dividends,True,object,
DIA,events,splits,False,missing,
DIA,events,capitalGains,False,missing,
MDY,root,chart,True,object,
MDY,chart,result,True,array,1.0
MDY,chart,error,True,null,
MDY,chart.result[0],meta,True,object,
MDY,chart.result[0],timestamp,True,array,3525.0
MDY,chart.result[0],indicators,True,object,
MDY,indicators,quote,True,array,1.0
MDY,indicators,adjclose,True,array,1.0
MDY,indicators.quote[0],open,True,array,3525.0
MDY,indicators.quote[0],high,True,array,3525.0
MDY,indicators.quote[0],low,True,array,3525.0
MDY,indicators.quote[0],close,True,array,3525.0
MDY,indicators.quote[0],volume,True,array,3525.0
MDY,indicators.adjclose[0],adjclose,True,array,3525.0
MDY,chart.result[0],events,True,object,
MDY,events,dividends,True,object,
MDY,events,splits,False,missing,
MDY,events,capitalGains,False,missing,
