"event_type","source_timestamp_utc","amount","numerator","denominator","split_ratio"
"dividends","2007-03-16T13:30:00.0000000+00:00","0,027",,,
"dividends","2007-06-15T13:30:00.0000000+00:00","0,037",,,
"dividends","2007-09-21T13:30:00.0000000+00:00","0,026",,,
"dividends","2007-12-21T14:30:00.0000000+00:00","0,053",,,
"dividends","2008-03-20T13:30:00.0000000+00:00","0,033",,,
"dividends","2008-06-20T13:30:00.0000000+00:00","0,034",,,
"dividends","2008-09-19T13:30:00.0000000+00:00","0,028",,,
"dividends","2008-12-19T14:30:00.0000000+00:00","0,043",,,
"dividends","2009-03-20T13:30:00.0000000+00:00","0,049",,,
"dividends","2009-06-19T13:30:00.0000000+00:00","0,044",,,
"dividends","2009-09-18T13:30:00.0000000+00:00","0,041",,,
"dividends","2009-12-18T14:30:00.0000000+00:00","0,073",,,
"dividends","2010-03-19T13:30:00.0000000+00:00","0,051",,,
"dividends","2010-06-18T13:30:00.0000000+00:00","0,089",,,
"dividends","2010-06-25T13:30:00.0000000+00:00","0,089",,,
"dividends","2010-09-17T13:30:00.0000000+00:00","0,112",,,
"dividends","2010-12-17T14:30:00.0000000+00:00","0,108",,,
"dividends","2011-03-18T13:30:00.0000000+00:00","0,077",,,
"dividends","2011-06-17T13:30:00.0000000+00:00","0,121",,,
"dividends","2011-09-16T13:30:00.0000000+00:00","0,104",,,
"dividends","2011-12-16T14:30:00.0000000+00:00","0,161",,,
"dividends","2011-12-27T14:30:00.0000000+00:00","0,049",,,
"dividends","2012-03-16T13:30:00.0000000+00:00","0,113",,,
"dividends","2012-06-15T13:30:00.0000000+00:00","0,143",,,
"dividends","2012-09-21T13:30:00.0000000+00:00","0,2",,,
"dividends","2012-12-21T14:30:00.0000000+00:00","0,367",,,
"dividends","2013-03-15T13:30:00.0000000+00:00","0,159",,,
"dividends","2013-06-21T13:30:00.0000000+00:00","0,224",,,
"dividends","2013-09-20T13:30:00.0000000+00:00","0,238",,,
"dividends","2013-12-20T14:30:00.0000000+00:00","0,272",,,
"dividends","2014-02-27T14:30:00.0000000+00:00","0,373",,,
"dividends","2014-03-21T13:30:00.0000000+00:00","0,206",,,
"dividends","2014-06-20T13:30:00.0000000+00:00","0,249",,,
"dividends","2014-09-19T13:30:00.0000000+00:00","0,238",,,
"dividends","2014-12-19T14:30:00.0000000+00:00","0,387",,,
"dividends","2015-03-20T13:30:00.0000000+00:00","0,248",,,
"dividends","2015-06-19T13:30:00.0000000+00:00","0,254",,,
"dividends","2015-09-18T13:30:00.0000000+00:00","0,26",,,
"dividends","2015-12-18T14:30:00.0000000+00:00","0,342",,,
"dividends","2016-03-18T13:30:00.0000000+00:00","0,318",,,
"dividends","2016-06-17T13:30:00.0000000+00:00","0,287",,,
"dividends","2016-09-16T13:30:00.0000000+00:00","0,294",,,
"dividends","2016-12-16T14:30:00.0000000+00:00","0,355",,,
"dividends","2017-03-17T13:30:00.0000000+00:00","0,274",,,
"dividends","2017-06-16T13:30:00.0000000+00:00","0,378",,,
"dividends","2017-09-18T13:30:00.0000000+00:00","0,319",,,
"dividends","2017-12-18T14:30:00.0000000+00:00","0,329",,,
"dividends","2018-03-19T13:30:00.0000000+00:00","0,277",,,
"dividends","2018-06-18T13:30:00.0000000+00:00","0,378",,,
"dividends","2018-09-24T13:30:00.0000000+00:00","0,33",,,
"dividends","2018-12-24T14:30:00.0000000+00:00","0,421",,,
