"event_type","source_timestamp_utc","amount","numerator","denominator","split_ratio"
"dividends","2007-03-16T13:30:00.0000000+00:00","0,551",,,
"dividends","2007-06-15T13:30:00.0000000+00:00","0,656",,,
"dividends","2007-09-21T13:30:00.0000000+00:00","0,719",,,
"dividends","2007-12-21T14:30:00.0000000+00:00","0,775",,,
"dividends","2008-03-20T13:30:00.0000000+00:00","0,642",,,
"dividends","2008-06-20T13:30:00.0000000+00:00","0,669",,,
"dividends","2008-09-19T13:30:00.0000000+00:00","0,691",,,
"dividends","2008-12-19T14:30:00.0000000+00:00","0,719",,,
"dividends","2009-03-20T13:30:00.0000000+00:00","0,561",,,
"dividends","2009-06-19T13:30:00.0000000+00:00","0,518",,,
"dividends","2009-09-18T13:30:00.0000000+00:00","0,508",,,
"dividends","2009-12-18T14:30:00.0000000+00:00","0,59",,,
"dividends","2010-03-19T13:30:00.0000000+00:00","0,48",,,
"dividends","2010-06-18T13:30:00.0000000+00:00","0,531",,,
"dividends","2010-09-17T13:30:00.0000000+00:00","0,602",,,
"dividends","2010-12-17T14:30:00.0000000+00:00","0,653",,,
"dividends","2011-03-18T13:30:00.0000000+00:00","0,553",,,
"dividends","2011-06-17T13:30:00.0000000+00:00","0,628",,,
"dividends","2011-09-16T13:30:00.0000000+00:00","0,625",,,
"dividends","2011-12-16T14:30:00.0000000+00:00","0,77",,,
"dividends","2012-03-16T13:30:00.0000000+00:00","0,614",,,
"dividends","2012-06-15T13:30:00.0000000+00:00","0,688",,,
"dividends","2012-09-21T13:30:00.0000000+00:00","0,779",,,
"dividends","2012-12-21T14:30:00.0000000+00:00","1,022",,,
"dividends","2013-03-15T13:30:00.0000000+00:00","0,694",,,
"dividends","2013-06-21T13:30:00.0000000+00:00","0,839",,,
"dividends","2013-09-20T13:30:00.0000000+00:00","0,838",,,
"dividends","2013-12-20T14:30:00.0000000+00:00","0,98",,,
"dividends","2014-03-21T13:30:00.0000000+00:00","0,825",,,
"dividends","2014-06-20T13:30:00.0000000+00:00","0,937",,,
"dividends","2014-09-19T13:30:00.0000000+00:00","0,939",,,
"dividends","2014-12-19T14:30:00.0000000+00:00","1,135",,,
"dividends","2015-03-20T13:30:00.0000000+00:00","0,931",,,
"dividends","2015-06-19T13:30:00.0000000+00:00","1,03",,,
"dividends","2015-09-18T13:30:00.0000000+00:00","1,033",,,
"dividends","2015-12-18T14:30:00.0000000+00:00","1,212",,,
"dividends","2016-03-18T13:30:00.0000000+00:00","1,05",,,
"dividends","2016-06-17T13:30:00.0000000+00:00","1,078",,,
"dividends","2016-09-16T13:30:00.0000000+00:00","1,082",,,
"dividends","2016-12-16T14:30:00.0000000+00:00","1,329",,,
"dividends","2017-03-17T13:30:00.0000000+00:00","1,033",,,
"dividends","2017-06-16T13:30:00.0000000+00:00","1,183",,,
"dividends","2017-09-15T13:30:00.0000000+00:00","1,235",,,
"dividends","2017-12-15T14:30:00.0000000+00:00","1,351",,,
"dividends","2018-03-16T13:30:00.0000000+00:00","1,097",,,
"dividends","2018-06-15T13:30:00.0000000+00:00","1,246",,,
"dividends","2018-09-21T13:30:00.0000000+00:00","1,323",,,
"dividends","2018-12-21T14:30:00.0000000+00:00","1,435",,,
