"event_type","source_timestamp_utc","amount","numerator","denominator","split_ratio"
"dividends","2007-03-16T13:30:00.0000000+00:00","0,0215",,,
"dividends","2007-06-15T13:30:00.0000000+00:00","0,022",,,
"dividends","2007-09-21T13:30:00.0000000+00:00","0,0215",,,
"dividends","2007-12-21T14:30:00.0000000+00:00","0,028",,,
"dividends","2008-03-20T13:30:00.0000000+00:00","0,0415",,,
"dividends","2008-06-20T13:30:00.0000000+00:00","0,045",,,
"dividends","2008-09-19T13:30:00.0000000+00:00","0,0485",,,
"dividends","2008-12-19T14:30:00.0000000+00:00","0,011",,,
"dividends","2009-03-20T13:30:00.0000000+00:00","0,041",,,
"dividends","2009-06-19T13:30:00.0000000+00:00","0,0445",,,
"dividends","2009-09-18T13:30:00.0000000+00:00","0,046",,,
"dividends","2009-12-18T14:30:00.0000000+00:00","0,043",,,
"dividends","2010-03-19T13:30:00.0000000+00:00","0,043",,,
"dividends","2010-06-18T13:30:00.0000000+00:00","0,051",,,
"dividends","2010-09-17T13:30:00.0000000+00:00","0,0525",,,
"dividends","2010-12-17T14:30:00.0000000+00:00","0,06",,,
"dividends","2011-03-18T13:30:00.0000000+00:00","0,0325",,,
"dividends","2011-06-17T13:30:00.0000000+00:00","0,0195",,,
"dividends","2011-09-16T13:30:00.0000000+00:00","0,041",,,
"dividends","2011-12-16T14:30:00.0000000+00:00","0,0935",,,
"dividends","2012-03-16T13:30:00.0000000+00:00","0,023",,,
"dividends","2012-06-15T13:30:00.0000000+00:00","0,026",,,
"dividends","2012-09-21T13:30:00.0000000+00:00","0,034",,,
"dividends","2012-12-21T14:30:00.0000000+00:00","0,0735",,,
"dividends","2013-03-15T13:30:00.0000000+00:00","0,0295",,,
"dividends","2013-06-21T13:30:00.0000000+00:00","0,0395",,,
"dividends","2013-09-20T13:30:00.0000000+00:00","0,0385",,,
"dividends","2013-12-20T14:30:00.0000000+00:00","0,051",,,
"dividends","2014-03-21T13:30:00.0000000+00:00","0,043",,,
"dividends","2014-06-20T13:30:00.0000000+00:00","0,0395",,,
"dividends","2014-09-19T13:30:00.0000000+00:00","0,044",,,
"dividends","2014-12-19T14:30:00.0000000+00:00","0,0575",,,
"dividends","2015-03-20T13:30:00.0000000+00:00","0,047",,,
"dividends","2015-06-19T13:30:00.0000000+00:00","0,063",,,
"dividends","2015-09-18T13:30:00.0000000+00:00","0,067",,,
"dividends","2015-12-18T14:30:00.0000000+00:00","0,075",,,
"dividends","2016-03-18T13:30:00.0000000+00:00","0,052",,,
"dividends","2016-06-17T13:30:00.0000000+00:00","0,102",,,
"dividends","2016-09-16T13:30:00.0000000+00:00","0,085",,,
"dividends","2016-12-16T14:30:00.0000000+00:00","0,118",,,
"dividends","2017-03-17T13:30:00.0000000+00:00","0,091",,,
"dividends","2017-06-16T13:30:00.0000000+00:00","0,098",,,
"dividends","2017-09-15T13:30:00.0000000+00:00","0,094",,,
"dividends","2017-12-15T14:30:00.0000000+00:00","0,128",,,
"dividends","2018-03-16T13:30:00.0000000+00:00","0,108",,,
"dividends","2018-06-15T13:30:00.0000000+00:00","0,19",,,
"dividends","2018-09-24T13:30:00.0000000+00:00","0,248",,,
"dividends","2018-12-24T14:30:00.0000000+00:00","0,207",,,
"splits","2015-09-11T13:30:00.0000000+00:00",,"2","1","2:1"
